Event ID,COUNTRY,STATE,CITY,EVENT CODE,Event Type,POPULATION
3,Uruguay,NA,NA,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
4,Chile,,,0421,Economy / Currency Exchange / Increase,CLP
5,Argentina,,,033,Illness / Common,54
6,Bolivia,,,033,Illness / Common,1
7,Chile ,,,033,Illness / Common,102
8,Colombia,,,033,Illness / Common,22
9,Costa Rica,,,033,Illness / Common,16
10,Ecuador,,,033,Illness / Common,230
11,El Salvador,,,033,Illness / Common,6
12,Guatemala,,,033,Illness / Common,7
13,Honduras,,,033,Illness / Common,2
14,Mexico,,,033,Illness / Common,95
15,Nicaragua,,,033,Illness / Common,0
16,Panamá,,,033,Illness / Common,1
17,Paraguay,,,033,Illness / Common,113
18,Peru,,,033,Illness / Common,7
19,Uruguay,Canelones,NA,0152,Civil Unrest / Other Government / Violent,General Population
21,Chile,Magallanes,NA,0131,Civil Unrest / Energy & Resources / Non-Violent,General Population
22,Argentina,,,033,Illness / Common,50
23,Bolivia,,,033,Illness / Common,2
24,Chile ,,,033,Illness / Common,71
25,Colombia,,,033,Illness / Common,13
26,Costa Rica,,,033,Illness / Common,15
27,Ecuador,,,033,Illness / Common,173
28,El Salvador,,,033,Illness / Common,0
29,French Guiana,,,033,Illness / Common,2
30,Guatemala,,,033,Illness / Common,2
31,Honduras,,,033,Illness / Common,3
32,Mexico,,,033,Illness / Common,83
33,Nicaragua,,,033,Illness / Common,1
34,Panamá,,,033,Illness / Common,3
35,Paraguay,,,033,Illness / Common,64
36,Peru,,,033,Illness / Common,8
37,Peru,Lima Provincias,Lima,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
38,Mexico,NA,NA,0151,Civil Unrest / Other Government / Non-Violent,Agricultural
39,Honduras,Distrito Central,Tegucipalpa,0111,Civil Unrest / Employment & Wages / Non-Violent,Medical
41,Argentina,,,033,Illness / Common,48
42,Bolivia,,,033,Illness / Common,0
43,Chile ,,,033,Illness / Common,63
44,Colombia,,,033,Illness / Common,18
45,Costa Rica,,,033,Illness / Common,4
46,Ecuador,,,033,Illness / Common,102
47,El Salvador,,,033,Illness / Common,2
48,French Guiana,,,033,Illness / Common,1
49,Guatemala,,,033,Illness / Common,5
50,Honduras,,,033,Illness / Common,4
51,Mexico,,,033,Illness / Common,66
52,Nicaragua,,,033,Illness / Common,1
53,Panamá,,,033,Illness / Common,9
54,Paraguay,,,033,Illness / Common,48
55,Peru,,,033,Illness / Common,2
56,Peru,Lima Provincias,Callao,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
57,Costa Rica,,,0411,Economy / Stock Index / Increase,CRSMBCT
58,Guatemala,NA,NA,0151,Civil Unrest / Other Government / Non-Violent,General Population
60,Venezuela,Bolivar,NA,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
61,Argentina,,,033,Illness / Common,61
62,Bolivia,,,033,Illness / Common,0
63,Chile ,,,033,Illness / Common,79
64,Colombia,,,033,Illness / Common,15
65,Costa Rica,,,033,Illness / Common,17
66,Ecuador,,,033,Illness / Common,76
67,El Salvador,,,033,Illness / Common,1
68,French Guiana,,,033,Illness / Common,0
69,Guatemala,,,033,Illness / Common,7
70,Honduras,,,033,Illness / Common,1
71,Mexico,,,033,Illness / Common,57
72,Nicaragua,,,033,Illness / Common,3
73,Panamá,,,033,Illness / Common,12
74,Paraguay,,,033,Illness / Common,29
75,Peru,,,033,Illness / Common,4
79,Chile,,,0412,Economy / Stock Index / Decrease,CHILE65
80,Mexico,NA,Mexico City,0151,Civil Unrest / Other Government / Non-Violent,General Population
81,Venezuela,Carabobo,San Joaquin,0111,Civil Unrest / Employment & Wages / Non-Violent,Labor
82,Venezuela,NA,NA,0151,Civil Unrest / Other Government / Non-Violent,Education
83,Argentina,,,033,Illness / Common,46
84,Bolivia,,,033,Illness / Common,0
85,Chile ,,,033,Illness / Common,45
86,Colombia,,,033,Illness / Common,10
87,Costa Rica,,,033,Illness / Common,17
88,Ecuador,,,033,Illness / Common,69
89,El Salvador,,,033,Illness / Common,1
90,Guatemala,,,033,Illness / Common,4
91,Honduras,,,033,Illness / Common,2
92,Mexico,,,033,Illness / Common,32
93,Nicaragua,,,033,Illness / Common,0
94,Panamá,,,033,Illness / Common,3
95,Paraguay,,,033,Illness / Common,17
96,Peru,,,033,Illness / Common,3
97,Venezuela,NA,NA,0312,Illness / Rare / Cholera,General Population
98,Peru,Piura,Ayabaca,0314,Illness / Rare / Yellow Fever,General Population
100,Honduras,Distrito Central,Tegucipalpa,0111,Civil Unrest / Employment & Wages / Non-Violent,Education
101,Peru,Piura,Talara,0132,Civil Unrest / Energy & Resources / Violent,General Population
102,Ecuador,Pichincha,Quito,0151,Civil Unrest / Other Government / Non-Violent,General Population
103,Brazil,Federal District,Brasilia,0131,Civil Unrest / Energy & Resources / Non-Violent,General Population
104,Argentina,,,033,Illness / Common,50
105,Bolivia,,,033,Illness / Common,0
106,Chile ,,,033,Illness / Common,34
107,Colombia,,,033,Illness / Common,12
108,Costa Rica,,,033,Illness / Common,13
109,Ecuador,,,033,Illness / Common,56
110,El Salvador,,,033,Illness / Common,1
111,French Guiana,,,033,Illness / Common,6
112,Guatemala,,,033,Illness / Common,6
113,Honduras,,,033,Illness / Common,2
114,Mexico,,,033,Illness / Common,37
115,Nicaragua,,,033,Illness / Common,0
116,Panamá,,,033,Illness / Common,8
117,Paraguay,,,033,Illness / Common,17
118,Peru,,,033,Illness / Common,3
119,Brazil,Para,NA,0152,Civil Unrest / Other Government / Violent,Ethnic
120,Bolivia,Oruro,Oruro,0132,Civil Unrest / Energy & Resources / Violent,General Population
121,Argentina,,,033,Illness / Common,56
122,Bolivia,,,033,Illness / Common,0
123,Chile ,,,033,Illness / Common,30
124,Colombia,,,033,Illness / Common,11
125,Costa Rica,,,033,Illness / Common,6
126,Ecuador,,,033,Illness / Common,34
127,El Salvador,,,033,Illness / Common,3
128,French Guiana,,,033,Illness / Common,0
129,Guatemala,,,033,Illness / Common,4
130,Honduras,,,033,Illness / Common,3
131,Mexico,,,033,Illness / Common,37
132,Nicaragua,,,033,Illness / Common,1
133,Panamá,,,033,Illness / Common,4
134,Paraguay,,,033,Illness / Common,7
135,Peru,,,033,Illness / Common,1
136,Venezuela,Aragua,Mario Briceno Iragorry Municipality,0151,Civil Unrest / Other Government / Non-Violent,Legal
137,Panamá,,,0411,Economy / Stock Index / Increase,BVPSBVPS
138,Mexico,NA,Mexico City,0151,Civil Unrest / Other Government / Non-Violent,Education
140,Venezuela,NA,NA,0312,Illness / Rare / Cholera,General Population
141,Venezuela,Aragua,Maracay,0151,Civil Unrest / Other Government / Non-Violent,Labor
142,Argentina,,,033,Illness / Common,49
143,Bolivia,,,033,Illness / Common,0
144,Chile ,,,033,Illness / Common,58
145,Colombia,,,033,Illness / Common,15
146,Costa Rica,,,033,Illness / Common,13
147,Ecuador,,,033,Illness / Common,32
148,El Salvador,,,033,Illness / Common,1
149,French Guiana,,,033,Illness / Common,2
150,Guatemala,,,033,Illness / Common,13
151,Honduras,,,033,Illness / Common,1
